Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775832920,20,,Aggregated,1.500000,0.000000,460,680,690,700,740,830,910,1500,1500,1500,1500,79,3,460,554.2557500885329,158.4048439981416,1487.348839000333,14.430379746835444
1775832921,20,,Aggregated,1.500000,0.000000,460,680,690,700,740,830,910,1500,1500,1500,1500,79,3,460,554.2557500885329,158.4048439981416,1487.348839000333,14.430379746835444
1775832922,20,,Aggregated,1.500000,0.000000,460,680,690,700,740,830,910,1500,1500,1500,1500,79,3,460,554.2557500885329,158.4048439981416,1487.348839000333,14.430379746835444
1775832923,20,,Aggregated,1.000000,0.000000,480,680,700,700,800,830,910,1500,1500,1500,1500,80,3,460,557.4042234748958,158.4048439981416,1487.348839000333,14.4375
1775832924,20,,Aggregated,0.900000,0.000000,490,690,700,710,810,830,910,1500,1500,1500,1500,82,3,480,564.0665945730889,158.4048439981416,1487.348839000333,14.451219512195122
1775832925,20,,Aggregated,0.700000,0.000000,490,690,700,710,810,830,910,1500,1500,1500,1500,83,3,490,566.7504236625534,158.4048439981416,1487.348839000333,14.457831325301205
1775832926,20,,Aggregated,0.700000,0.000000,490,690,700,710,810,830,910,1500,1500,1500,1500,83,3,490,566.7504236625534,158.4048439981416,1487.348839000333,14.457831325301205
1775832927,20,,Aggregated,0.700000,0.000000,490,690,700,710,810,830,910,1500,1500,1500,1500,84,3,490,565.9253545475492,158.4048439981416,1487.348839000333,14.464285714285714
1775832928,20,,Aggregated,0.700000,0.000000,490,690,700,710,810,830,910,1500,1500,1500,1500,84,3,490,565.9253545475492,158.4048439981416,1487.348839000333,14.464285714285714
1775832929,20,,Aggregated,0.700000,0.000000,490,690,700,710,810,830,910,1500,1500,1500,1500,84,3,490,565.9253545475492,158.4048439981416,1487.348839000333,14.464285714285714
1775832930,20,,Aggregated,0.700000,0.000000,490,690,700,710,810,830,910,1500,1500,1500,1500,84,3,490,565.9253545475492,158.4048439981416,1487.348839000333,14.464285714285714
1775832931,20,,Aggregated,0.500000,0.000000,490,690,700,710,810,830,910,1500,1500,1500,1500,85,3,490,564.7104729528912,158.4048439981416,1487.348839000333,14.470588235294118
1775832932,20,,Aggregated,0.500000,0.000000,490,690,700,710,810,850,1000,1500,1500,1500,1500,86,3,490,569.9445045348236,158.4048439981416,1487.348839000333,14.476744186046512
1775832933,20,,Aggregated,0.500000,0.000000,490,690,700,710,810,850,1000,1500,1500,1500,1500,86,3,490,569.9445045348236,158.4048439981416,1487.348839000333,14.476744186046512
1775832934,20,,Aggregated,0.500000,0.000000,490,690,700,710,810,850,1000,1500,1500,1500,1500,86,3,490,569.9445045348236,158.4048439981416,1487.348839000333,14.476744186046512
1775832935,20,,Aggregated,0.600000,0.000000,490,690,700,710,810,850,1000,1500,1500,1500,1500,87,3,490,569.4272278160497,158.4048439981416,1487.348839000333,14.482758620689655
1775832936,20,,Aggregated,0.600000,0.000000,490,690,700,710,810,850,1000,1500,1500,1500,1500,87,3,490,569.4272278160497,158.4048439981416,1487.348839000333,14.482758620689655
1775832937,20,,Aggregated,0.500000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,88,3,490,573.5852286704193,158.4048439981416,1487.348839000333,14.488636363636363
1775832938,20,,Aggregated,0.500000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,88,3,490,573.5852286704193,158.4048439981416,1487.348839000333,14.488636363636363
1775832939,20,,Aggregated,0.500000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,88,3,490,573.5852286704193,158.4048439981416,1487.348839000333,14.488636363636363
1775832940,20,,Aggregated,0.400000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,89,3,500,572.8746748089466,158.4048439981416,1487.348839000333,14.49438202247191
1775832941,20,,Aggregated,0.400000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,89,3,500,572.8746748089466,158.4048439981416,1487.348839000333,14.49438202247191
1775832942,20,,Aggregated,0.400000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,89,3,500,572.8746748089466,158.4048439981416,1487.348839000333,14.49438202247191
1775832943,20,,Aggregated,0.400000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,89,3,500,572.8746748089466,158.4048439981416,1487.348839000333,14.49438202247191
1775832944,20,,Aggregated,0.400000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,90,3,490,571.9819310666127,158.4048439981416,1487.348839000333,14.5
1775832945,20,,Aggregated,0.400000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,90,3,490,571.9819310666127,158.4048439981416,1487.348839000333,14.5
1775832946,20,,Aggregated,0.400000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,90,3,490,571.9819310666127,158.4048439981416,1487.348839000333,14.5
1775832947,20,,Aggregated,0.300000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,91,3,500,574.7186096482988,158.4048439981416,1487.348839000333,14.505494505494505
1775832948,20,,Aggregated,0.300000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,91,3,500,574.7186096482988,158.4048439981416,1487.348839000333,14.505494505494505
1775832949,20,,Aggregated,0.300000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,91,3,500,574.7186096482988,158.4048439981416,1487.348839000333,14.505494505494505
1775832950,20,,Aggregated,0.300000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,92,3,500,574.1813131086493,158.4048439981416,1487.348839000333,14.51086956521739
1775832951,20,,Aggregated,0.300000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,92,3,500,574.1813131086493,158.4048439981416,1487.348839000333,14.51086956521739
1775832952,20,,Aggregated,0.300000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,93,3,500,574.6025566128786,158.4048439981416,1487.348839000333,14.516129032258064
1775832953,20,,Aggregated,0.300000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,93,3,500,574.6025566128786,158.4048439981416,1487.348839000333,14.516129032258064
1775832954,20,,Aggregated,0.300000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,93,3,500,574.6025566128786,158.4048439981416,1487.348839000333,14.516129032258064
1775832955,20,,Aggregated,0.300000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,93,3,500,574.6025566128786,158.4048439981416,1487.348839000333,14.516129032258064
1775832956,20,,Aggregated,0.400000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,94,3,500,574.045476010608,158.4048439981416,1487.348839000333,14.52127659574468
1775832957,20,,Aggregated,0.400000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,94,3,500,574.045476010608,158.4048439981416,1487.348839000333,14.52127659574468
1775832958,20,,Aggregated,0.400000,0.000000,500,690,700,720,820,880,1000,1500,1500,1500,1500,94,3,500,574.045476010608,158.4048439981416,1487.348839000333,14.52127659574468
1775832959,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832960,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832961,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832962,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832963,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832964,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832965,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832966,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832967,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832968,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832969,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832970,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832971,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832972,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832973,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832974,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832975,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832976,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832977,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832978,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832979,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832980,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832981,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832982,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
1775832983,20,,Aggregated,0.400000,0.000000,500,680,700,720,820,880,1000,1500,1500,1500,1500,95,3,500,573.6322257578554,158.4048439981416,1487.348839000333,14.526315789473685
