Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,136,13,8300,19654.67994801459,49.127682999824174,117965.73548100059,13.566176470588236,0.8257634819905223,0.07893327401379992,8400,11000,16000,18000,85000,94000,117000,118000,118000,118000,118000
GET,/status/[file_id],59,5,9500,20598.444935033862,98.1361049998668,120648.14046799984,262.54237288135596,0.3582356282164766,0.030358951543769202,9500,16000,17000,18000,67000,117000,120000,121000,121000,121000,121000
POST,/upload,20,1,13000,19124.16335100024,3368.238368000675,63769.94525400005,378.1,0.12143580617507681,0.00607179030875384,15000,17000,24000,34000,53000,64000,64000,64000,64000,64000,64000
,Aggregated,215,19,9300,19864.316237753435,49.127682999824174,120648.14046799984,115.8,1.3054349163820755,0.11536401586632296,9300,13000,16000,19000,64000,94000,117000,118000,121000,121000,121000
