Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,153,1,590,1241.730395542487,409.54072500244365,7611.228595000284,14.901960784313726,1.726421880516059,0.011283803140627836,590,890,1600,2000,3200,4300,5000,7400,7600,7600,7600
GET,/status/[file_id],88,0,980,1798.7534428068764,696.3885760014819,7131.878400003188,531.6363636363636,0.9929746763752496,0.0,1000,2000,2700,3200,3700,4300,4900,7100,7100,7100,7100
POST,/upload,33,1,3600,4285.600774333778,674.6118560004106,9243.017058000987,385.93939393939394,0.3723655036407186,0.011283803140627836,3600,4500,5100,6600,7700,8200,9200,9200,9200,9200,9200
,Aggregated,274,2,890,1787.2258359051837,409.54072500244365,9243.017058000987,225.54744525547446,3.091762060532027,0.022567606281255672,890,2000,2700,3100,4200,5000,7400,7700,9200,9200,9200
