Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775833778,12,,Aggregated,2.700000,0.000000,1200,3100,3700,4000,5100,7300,7700,9200,9200,9200,9200,69,0,1200,2343.057484289813,409.54072500244365,9243.017058000987,177.08695652173913
1775833779,12,,Aggregated,2.400000,0.000000,1700,3100,3700,4000,5100,7300,7700,9200,9200,9200,9200,70,0,1200,2346.9625174285675,409.54072500244365,9243.017058000987,180.24285714285713
1775833780,12,,Aggregated,2.400000,0.000000,1700,3100,3700,4000,5000,7300,7700,9200,9200,9200,9200,72,0,1700,2333.919317319467,409.54072500244365,9243.017058000987,180.79166666666666
1775833781,12,,Aggregated,2.400000,0.000000,2000,3400,4000,4200,7300,7700,8200,9200,9200,9200,9200,77,0,2000,2672.0910450000833,409.54072500244365,9243.017058000987,187.36363636363637
1775833782,12,,Aggregated,2.200000,0.000000,2000,3400,4000,4200,7100,7600,8200,9200,9200,9200,9200,83,0,2000,2636.796831180859,409.54072500244365,9243.017058000987,181.75903614457832
1775833783,12,,Aggregated,2.200000,0.000000,2100,3400,4000,4200,7100,7600,8200,9200,9200,9200,9200,84,0,2000,2636.969201416832,409.54072500244365,9243.017058000987,184.33333333333334
1775833784,12,,Aggregated,2.000000,0.000000,1900,3200,4000,4200,7100,7600,8200,9200,9200,9200,9200,87,0,1900,2560.768769735806,409.54072500244365,9243.017058000987,178.49425287356323
1775833785,12,,Aggregated,2.300000,0.000000,1700,3100,3700,4200,5100,7600,8200,9200,9200,9200,9200,95,1,1700,2471.5451250212745,409.54072500244365,9243.017058000987,170.55789473684212
1775833786,12,,Aggregated,2.600000,0.000000,1700,3100,3700,4200,5100,7600,8200,9200,9200,9200,9200,96,1,1700,2455.105021375213,409.54072500244365,9243.017058000987,174.86458333333334
1775833787,12,,Aggregated,3.400000,0.100000,1600,3000,3700,4200,5100,7600,8200,9200,9200,9200,9200,100,1,1600,2378.9556821302176,409.54072500244365,9243.017058000987,174.16
1775833788,12,,Aggregated,2.900000,0.100000,1600,2700,3600,4000,5100,7400,7700,8200,9200,9200,9200,107,1,1600,2313.6510784581637,409.54072500244365,9243.017058000987,183.2803738317757
1775833789,12,,Aggregated,3.000000,0.100000,1200,2700,3400,4000,5100,7400,7700,8200,9200,9200,9200,110,1,1200,2266.473959727492,409.54072500244365,9243.017058000987,183.86363636363637
1775833790,12,,Aggregated,3.000000,0.100000,1000,2700,3400,3700,5100,7400,7700,8200,9200,9200,9200,113,1,1000,2224.6602346285645,409.54072500244365,9243.017058000987,189.4513274336283
1775833791,12,,Aggregated,3.700000,0.100000,1000,2700,3400,3700,5100,7400,7700,8200,9200,9200,9200,114,1,1000,2212.932064044109,409.54072500244365,9243.017058000987,192.91228070175438
1775833792,12,,Aggregated,4.100000,0.100000,1000,2700,3200,3700,5100,7400,7700,8200,9200,9200,9200,117,1,1000,2192.859272658346,409.54072500244365,9243.017058000987,196.48717948717947
1775833793,12,,Aggregated,4.100000,0.100000,1000,2600,3200,3700,5100,7400,7700,8200,9200,9200,9200,119,1,1000,2163.2389450002365,409.54072500244365,9243.017058000987,193.43697478991598
1775833794,12,,Aggregated,3.700000,0.100000,980,2500,3100,3700,5000,7400,7700,8200,9200,9200,9200,121,1,980,2134.513395066316,409.54072500244365,9243.017058000987,190.48760330578511
1775833795,12,,Aggregated,3.500000,0.100000,1200,2700,3600,4000,5000,7400,7700,8200,9200,9200,9200,128,1,1000,2242.048132617412,409.54072500244365,9243.017058000987,197.21875
1775833796,12,,Aggregated,3.400000,0.100000,1000,2700,3400,4000,5000,7400,7700,8200,9200,9200,9200,133,1,1000,2201.3862715340433,409.54072500244365,9243.017058000987,197.52631578947367
1775833797,12,,Aggregated,3.000000,0.000000,1000,2700,3400,4000,5000,7400,7700,8200,9200,9200,9200,135,1,1000,2176.621873777967,409.54072500244365,9243.017058000987,194.82222222222222
1775833798,12,,Aggregated,3.000000,0.000000,1000,2700,3400,3700,5000,7400,7700,8200,9200,9200,9200,138,2,980,2140.5383231813175,409.54072500244365,9243.017058000987,190.80434782608697
1775833799,12,,Aggregated,3.500000,0.000000,940,2500,3200,3700,4900,7300,7700,8200,9200,9200,9200,143,2,940,2092.229282300847,409.54072500244365,9243.017058000987,192.6153846153846
